code,Treatment,exp,cfuA,cfuL,total,SortOrder,repexp,Experiment,Sex,Vial
Choice 75 A Post-Treatment M,Choice,A,203520,22260,225780,75,Choice 75 A Post-Treatment M,Post-Treatment,M,4
Choice 77 A Post-Treatment M,Choice,A,89040,8347.5,97387.5,77,Choice 77 A Post-Treatment M,Post-Treatment,M,4
Choice 79 A Post-Treatment M,Choice,A,31800,4372.5,36172.5,79,Choice 79 A Post-Treatment M,Post-Treatment,M,4
Choice 81 A Post-Treatment F,Choice,A,98580,7155,105735,81,Choice 81 A Post-Treatment F,Post-Treatment,F,4
Choice 83 A Post-Treatment F,Choice,A,1322880,38160,1361040,83,Choice 83 A Post-Treatment F,Post-Treatment,F,4
Choice 85 A Post-Treatment F,Choice,A,457920,4770,462690,85,Choice 85 A Post-Treatment F,Post-Treatment,F,4
Choice 87 A Post-Treatment F,Choice,A,1195680,5565,1201245,87,Choice 87 A Post-Treatment F,Post-Treatment,F,4
Control 89 A Post-Treatment M,Control,A,381600,1590,383190,89,Control 89 A Post-Treatment M,Post-Treatment,M,5
Control 91 A Post-Treatment M,Control,A,38160,3180,41340,91,Control 91 A Post-Treatment M,Post-Treatment,M,5
Control 93 A Post-Treatment M,Control,A,279840,825,280665,93,Control 93 A Post-Treatment M,Post-Treatment,M,5
Control 95 A Post-Treatment M,Control,A,22260,4770,27030,95,Control 95 A Post-Treatment M,Post-Treatment,M,5
Control 97 A Post-Treatment F,Control,A,686880,4770,691650,97,Control 97 A Post-Treatment F,Post-Treatment,F,5
Control 99 A Post-Treatment F,Control,A,79500,1590,81090,99,Control 99 A Post-Treatment F,Post-Treatment,F,5
Control 101 A Post-Treatment F,Control,A,330720,5565,336285,101,Control 101 A Post-Treatment F,Post-Treatment,F,5
Control 103 A Post-Treatment M,Control,A,559680,19080,578760,103,Control 103 A Post-Treatment M,Post-Treatment,M,6
Control 105 A Post-Treatment M,Control,A,814080,2782.5,816862.5,105,Control 105 A Post-Treatment M,Post-Treatment,M,6
Control 109 A Post-Treatment F,Control,A,104940,397.5,105337.5,109,Control 109 A Post-Treatment F,Post-Treatment,F,6
Control 111 A Post-Treatment F,Control,A,28620,1987.5,30607.5,111,Control 111 A Post-Treatment F,Post-Treatment,F,6
Control 113 A Post-Treatment F,Control,A,57240,397.5,57637.5,113,Control 113 A Post-Treatment F,Post-Treatment,F,6
Control 115 A Post-Treatment F,Control,A,534240,2385,536625,115,Control 115 A Post-Treatment F,Post-Treatment,F,6
Control 117 A Post-Treatment M,Control,A,483360,2385,485745,117,Control 117 A Post-Treatment M,Post-Treatment,M,7
Control 119 A Post-Treatment M,Control,A,178080,750,178830,119,Control 119 A Post-Treatment M,Post-Treatment,M,7
Control 125 A Post-Treatment F,Control,A,12720,4770,17490,125,Control 125 A Post-Treatment F,Post-Treatment,F,7
Control 127 A Post-Treatment F,Control,A,712320,550,712870,127,Control 127 A Post-Treatment F,Post-Treatment,F,7
