Plate,Treatment,Bacteria,LABconc,exp,stg,GT,cfuA,cfuL,total,repexp
2,Choice,Acetobacter,1x,D,Choice,Choice,3392000,5566.666667,3397566.667,D2Choice1x
3,Choice,Acetobacter,1x,D,Choice,Choice,8581760,3893.333333,8585653.333,D3Choice1x
4,Choice,Acetobacter,1x,D,Choice,Choice,9497600,366.6666667,9497966.667,D4Choice1x
5,Choice,Acetobacter,1x,D,Choice,Choice,11125760,237.5,11125997.5,D5Choice1x
6,Control,Acetobacter,1x,D,Control,Control,9531520,6605.833333,9538125.833,D6Control1x
7,Control,Acetobacter,1x,D,Control,Control,10752640,1355.833333,10753995.83,D7Control1x
8,Control,Acetobacter,1x,D,Control,Control,6750080,12419.16667,6762499.167,D8Control1x
9,Control,Acetobacter,1x,D,Control,Control,13635840,3330,13639170,D9Control1x
10,Control,Acetobacter,1x,D,Control,Control,14083584,285,14083869,D10Control1x
1,Choice,Acetobacter,50x,D,Choice,Choice,20080640,1155400,21236040,D1Choice50x
2,Choice,Acetobacter,50x,D,Choice,Choice,10243840,1492638.333,11736478.33,D2Choice50x
3,Choice,Acetobacter,50x,D,Choice,Choice,12482560,352028.3333,12834588.33,D3Choice50x
4,Choice,Acetobacter,50x,D,Choice,Choice,10583040,373361.6667,10956401.67,D4Choice50x
5,Choice,Acetobacter,50x,D,Choice,Choice,6512640,654049.1667,7166689.167,D5Choice50x
6,Control,Acetobacter,50x,D,Control,Control,14619520,620100,15239620,D6Control50x
7,Control,Acetobacter,50x,D,Control,Control,2443830,175430,2619260,D7Control50x
8,Control,Acetobacter,50x,D,Control,Control,6071680,799240,6870920,D8Control50x
9,Control,Acetobacter,50x,D,Control,Control,19537920,1433120,20971040,D9Control50x
10,Control,Acetobacter,50x,D,Control,Control,27950080,1468100,29418180,D10Control50x
