Position,code,Geography,Treatment,vialnum,Sex,exp,cfuA,cfuL,repexp,total,GT,Bacteria,Replicate,Duplicate,SortOrder,Plate,Side,type
305,B Choice NA 1 NA 2581 4 Diet 1 L,B,Choice,B Choice NA 1 NA 2581 4 Diet 1 L,NA,4,4884480,0,B Choice NA 1 NA 2581 4 Diet 1 L,4884480,BChoice,CV,1,NA,2581,Diet 1,L,diet
307,B Choice NA 1 NA 2583 4 Diet 1 L,B,Choice,B Choice NA 1 NA 2583 4 Diet 1 L,NA,4,37447680,75,B Choice NA 1 NA 2583 4 Diet 1 L,37447755,BChoice,CV,1,NA,2583,Diet 1,L,diet
309,B Choice NA 1 NA 2585 4 Diet 1 L,B,Choice,B Choice NA 1 NA 2585 4 Diet 1 L,NA,4,19537920,400,B Choice NA 1 NA 2585 4 Diet 1 L,19538320,BChoice,CV,1,NA,2585,Diet 1,L,diet
505,B Control F 1 NA 504 1 Flies 2 NA,B,Control,B Control F 1 NA 504 1 Flies 2 NA,F,1,9937.5,0,B Control F 1 NA 504 1 Flies 2 NA,9937.5,BControl,X,1,NA,504,Flies 2,NA,fly
507,B Control F 1 NA 506 1 Flies 2 NA,B,Control,B Control F 1 NA 506 1 Flies 2 NA,F,1,228960,0,B Control F 1 NA 506 1 Flies 2 NA,228960,BControl,X,1,NA,506,Flies 2,NA,fly
509,B Control F 1 NA 508 1 Flies 2 NA,B,Control,B Control F 1 NA 508 1 Flies 2 NA,F,1,44520,0,B Control F 1 NA 508 1 Flies 2 NA,44520,BControl,X,1,NA,508,Flies 2,NA,fly
911,B Control F 1 NA 907 1 Flies 3 NA,B,Control,B Control F 1 NA 907 1 Flies 3 NA,F,1,636000,75,B Control F 1 NA 907 1 Flies 3 NA,636075,BControl,LAB,1,NA,907,Flies 3,NA,fly
913,B Control F 1 NA 909 1 Flies 3 NA,B,Control,B Control F 1 NA 909 1 Flies 3 NA,F,1,992160,0,B Control F 1 NA 909 1 Flies 3 NA,992160,BControl,LAB,1,NA,909,Flies 3,NA,fly
915,B Control F 1 NA 911 1 Flies 3 NA,B,Control,B Control F 1 NA 911 1 Flies 3 NA,F,1,203520,225,B Control F 1 NA 911 1 Flies 3 NA,203745,BControl,LAB,1,NA,911,Flies 3,NA,fly
935,B Control F 1 NA 931 1 Flies 3 NA,B,Control,B Control F 1 NA 931 1 Flies 3 NA,F,1,228960,0,B Control F 1 NA 931 1 Flies 3 NA,228960,BControl,AAB,1,NA,931,Flies 3,NA,fly
937,B Control F 1 NA 933 1 Flies 3 NA,B,Control,B Control F 1 NA 933 1 Flies 3 NA,F,1,38160,0,B Control F 1 NA 933 1 Flies 3 NA,38160,BControl,AAB,1,NA,933,Flies 3,NA,fly
939,B Control F 1 NA 935 1 Flies 3 NA,B,Control,B Control F 1 NA 935 1 Flies 3 NA,F,1,66780,0,B Control F 1 NA 935 1 Flies 3 NA,66780,BControl,AAB,1,NA,935,Flies 3,NA,fly
419,B Control F 1 NA 2692 4 Flies 2 NA,B,Control,B Control F 1 NA 2692 4 Flies 2 NA,F,4,1043040,0,B Control F 1 NA 2692 4 Flies 2 NA,1043040,BControl,CV,1,NA,2692,Flies 2,NA,fly
421,B Control F 1 NA 2694 4 Flies 2 NA,B,Control,B Control F 1 NA 2694 4 Flies 2 NA,F,4,1093920,397.5,B Control F 1 NA 2694 4 Flies 2 NA,1094317.5,BControl,CV,1,NA,2694,Flies 2,NA,fly
423,B Control F 1 NA 2696 4 Flies 2 NA,B,Control,B Control F 1 NA 2696 4 Flies 2 NA,F,4,636000,0,B Control F 1 NA 2696 4 Flies 2 NA,636000,BControl,CV,1,NA,2696,Flies 2,NA,fly
499,B Control M 1 NA 498 1 Flies 2 NA,B,Control,B Control M 1 NA 498 1 Flies 2 NA,M,1,966720,0,B Control M 1 NA 498 1 Flies 2 NA,966720,BControl,X,1,NA,498,Flies 2,NA,fly
501,B Control M 1 NA 500 1 Flies 2 NA,B,Control,B Control M 1 NA 500 1 Flies 2 NA,M,1,1144800,0,B Control M 1 NA 500 1 Flies 2 NA,1144800,BControl,X,1,NA,500,Flies 2,NA,fly
503,B Control M 1 NA 502 1 Flies 2 NA,B,Control,B Control M 1 NA 502 1 Flies 2 NA,M,1,941280,0,B Control M 1 NA 502 1 Flies 2 NA,941280,BControl,X,1,NA,502,Flies 2,NA,fly
905,B Control M 1 NA 901 1 Flies 3 NA,B,Control,B Control M 1 NA 901 1 Flies 3 NA,M,1,17092.5,300,B Control M 1 NA 901 1 Flies 3 NA,17392.5,BControl,LAB,1,NA,901,Flies 3,NA,fly
907,B Control M 1 NA 903 1 Flies 3 NA,B,Control,B Control M 1 NA 903 1 Flies 3 NA,M,1,127200,6360,B Control M 1 NA 903 1 Flies 3 NA,133560,BControl,LAB,1,NA,903,Flies 3,NA,fly
909,B Control M 1 NA 905 1 Flies 3 NA,B,Control,B Control M 1 NA 905 1 Flies 3 NA,M,1,146280,6757.5,B Control M 1 NA 905 1 Flies 3 NA,153037.5,BControl,LAB,1,NA,905,Flies 3,NA,fly
929,B Control M 1 NA 925 1 Flies 3 NA,B,Control,B Control M 1 NA 925 1 Flies 3 NA,M,1,108120,0,B Control M 1 NA 925 1 Flies 3 NA,108120,BControl,AAB,1,NA,925,Flies 3,NA,fly
931,B Control M 1 NA 927 1 Flies 3 NA,B,Control,B Control M 1 NA 927 1 Flies 3 NA,M,1,28620,0,B Control M 1 NA 927 1 Flies 3 NA,28620,BControl,AAB,1,NA,927,Flies 3,NA,fly
933,B Control M 1 NA 929 1 Flies 3 NA,B,Control,B Control M 1 NA 929 1 Flies 3 NA,M,1,127200,0,B Control M 1 NA 929 1 Flies 3 NA,127200,BControl,AAB,1,NA,929,Flies 3,NA,fly
415,B Control M 1 NA 2688 4 Flies 2 NA,B,Control,B Control M 1 NA 2688 4 Flies 2 NA,M,4,407040,0,B Control M 1 NA 2688 4 Flies 2 NA,407040,BControl,CV,1,NA,2688,Flies 2,NA,fly
417,B Control M 1 NA 2690 4 Flies 2 NA,B,Control,B Control M 1 NA 2690 4 Flies 2 NA,M,4,992160,0,B Control M 1 NA 2690 4 Flies 2 NA,992160,BControl,CV,1,NA,2690,Flies 2,NA,fly
701,B Control NA 1 NA 700 1 Diet 2 NA,B,Control,B Control NA 1 NA 700 1 Diet 2 NA,NA,1,2442240,0,B Control NA 1 NA 700 1 Diet 2 NA,2442240,BControl,X,1,NA,700,Diet 2,NA,diet
703,B Control NA 1 NA 702 1 Diet 2 NA,B,Control,B Control NA 1 NA 702 1 Diet 2 NA,NA,1,1831680,0,B Control NA 1 NA 702 1 Diet 2 NA,1831680,BControl,X,1,NA,702,Diet 2,NA,diet
705,B Control NA 1 NA 704 1 Diet 2 NA,B,Control,B Control NA 1 NA 704 1 Diet 2 NA,NA,1,3052800,0,B Control NA 1 NA 704 1 Diet 2 NA,3052800,BControl,X,1,NA,704,Diet 2,NA,diet
707,B Control NA 1 NA 706 1 Diet 2 NA,B,Control,B Control NA 1 NA 706 1 Diet 2 NA,NA,1,3052800,0,B Control NA 1 NA 706 1 Diet 2 NA,3052800,BControl,X,1,NA,706,Diet 2,NA,diet
709,B Control NA 1 NA 708 1 Diet 2 NA,B,Control,B Control NA 1 NA 708 1 Diet 2 NA,NA,1,3866880,0,B Control NA 1 NA 708 1 Diet 2 NA,3866880,BControl,X,1,NA,708,Diet 2,NA,diet
711,B Control NA 1 NA 710 1 Diet 2 NA,B,Control,B Control NA 1 NA 710 1 Diet 2 NA,NA,1,6716160,0,B Control NA 1 NA 710 1 Diet 2 NA,6716160,BControl,X,1,NA,710,Diet 2,NA,diet
1097,B Control NA 1 NA 1092 1 Diet 3 NA,B,Control,B Control NA 1 NA 1092 1 Diet 3 NA,NA,1,2442240,0,B Control NA 1 NA 1092 1 Diet 3 NA,2442240,BControl,LAB,1,NA,1092,Diet 3,NA,diet
1099,B Control NA 1 NA 1094 1 Diet 3 NA,B,Control,B Control NA 1 NA 1094 1 Diet 3 NA,NA,1,1628160,0,B Control NA 1 NA 1094 1 Diet 3 NA,1628160,BControl,LAB,1,NA,1094,Diet 3,NA,diet
1101,B Control NA 1 NA 1096 1 Diet 3 NA,B,Control,B Control NA 1 NA 1096 1 Diet 3 NA,NA,1,2442240,0,B Control NA 1 NA 1096 1 Diet 3 NA,2442240,BControl,LAB,1,NA,1096,Diet 3,NA,diet
1103,B Control NA 1 NA 1098 1 Diet 3 NA,B,Control,B Control NA 1 NA 1098 1 Diet 3 NA,NA,1,2442240,0,B Control NA 1 NA 1098 1 Diet 3 NA,2442240,BControl,LAB,1,NA,1098,Diet 3,NA,diet
1105,B Control NA 1 NA 1100 1 Diet 3 NA,B,Control,B Control NA 1 NA 1100 1 Diet 3 NA,NA,1,5495040,0,B Control NA 1 NA 1100 1 Diet 3 NA,5495040,BControl,LAB,1,NA,1100,Diet 3,NA,diet
1107,B Control NA 1 NA 1102 1 Diet 3 NA,B,Control,B Control NA 1 NA 1102 1 Diet 3 NA,NA,1,3052800,0,B Control NA 1 NA 1102 1 Diet 3 NA,3052800,BControl,LAB,1,NA,1102,Diet 3,NA,diet
1121,B Control NA 1 NA 1116 1 Diet 3 NA,B,Control,B Control NA 1 NA 1116 1 Diet 3 NA,NA,1,37447680,0,B Control NA 1 NA 1116 1 Diet 3 NA,37447680,BControl,AAB,1,NA,1116,Diet 3,NA,diet
1123,B Control NA 1 NA 1118 1 Diet 3 NA,B,Control,B Control NA 1 NA 1118 1 Diet 3 NA,NA,1,5088000,0,B Control NA 1 NA 1118 1 Diet 3 NA,5088000,BControl,AAB,1,NA,1118,Diet 3,NA,diet
1125,B Control NA 1 NA 1120 1 Diet 3 NA,B,Control,B Control NA 1 NA 1120 1 Diet 3 NA,NA,1,5291520,0,B Control NA 1 NA 1120 1 Diet 3 NA,5291520,BControl,AAB,1,NA,1120,Diet 3,NA,diet
1127,B Control NA 1 NA 1122 1 Diet 3 NA,B,Control,B Control NA 1 NA 1122 1 Diet 3 NA,NA,1,4680960,0,B Control NA 1 NA 1122 1 Diet 3 NA,4680960,BControl,AAB,1,NA,1122,Diet 3,NA,diet
1129,B Control NA 1 NA 1124 1 Diet 3 NA,B,Control,B Control NA 1 NA 1124 1 Diet 3 NA,NA,1,2849280,0,B Control NA 1 NA 1124 1 Diet 3 NA,2849280,BControl,AAB,1,NA,1124,Diet 3,NA,diet
1131,B Control NA 1 NA 1126 1 Diet 3 NA,B,Control,B Control NA 1 NA 1126 1 Diet 3 NA,NA,1,3663360,0,B Control NA 1 NA 1126 1 Diet 3 NA,3663360,BControl,AAB,1,NA,1126,Diet 3,NA,diet
597,B Control NA 1 NA 2865 4 Diet 2 NA,B,Control,B Control NA 1 NA 2865 4 Diet 2 NA,NA,4,79779840,0,B Control NA 1 NA 2865 4 Diet 2 NA,79779840,BControl,CV,1,NA,2865,Diet 2,NA,diet
599,B Control NA 1 NA 2867 4 Diet 2 NA,B,Control,B Control NA 1 NA 2867 4 Diet 2 NA,NA,4,53729280,0,B Control NA 1 NA 2867 4 Diet 2 NA,53729280,BControl,CV,1,NA,2867,Diet 2,NA,diet
601,B Control NA 1 NA 2869 4 Diet 2 NA,B,Control,B Control NA 1 NA 2869 4 Diet 2 NA,NA,4,45588480,0,B Control NA 1 NA 2869 4 Diet 2 NA,45588480,BControl,CV,1,NA,2869,Diet 2,NA,diet
603,B Control NA 1 NA 2871 4 Diet 2 NA,B,Control,B Control NA 1 NA 2871 4 Diet 2 NA,NA,4,43960320,0,B Control NA 1 NA 2871 4 Diet 2 NA,43960320,BControl,CV,1,NA,2871,Diet 2,NA,diet
605,B Control NA 1 NA 2873 4 Diet 2 NA,B,Control,B Control NA 1 NA 2873 4 Diet 2 NA,NA,4,47216640,0,B Control NA 1 NA 2873 4 Diet 2 NA,47216640,BControl,CV,1,NA,2873,Diet 2,NA,diet
607,B Control NA 1 NA 2875 4 Diet 2 NA,B,Control,B Control NA 1 NA 2875 4 Diet 2 NA,NA,4,39075840,0,B Control NA 1 NA 2875 4 Diet 2 NA,39075840,BControl,CV,1,NA,2875,Diet 2,NA,diet
81,D Choice F 1 NA 2362 4 Flies 1 NA,D,Choice,D Choice F 1 NA 2362 4 Flies 1 NA,F,4,92220,150,D Choice F 1 NA 2362 4 Flies 1 NA,92370,DChoice,CV,1,NA,2362,Flies 1,NA,fly
83,D Choice F 1 NA 2364 4 Flies 1 NA,D,Choice,D Choice F 1 NA 2364 4 Flies 1 NA,F,4,636000,600,D Choice F 1 NA 2364 4 Flies 1 NA,636600,DChoice,CV,1,NA,2364,Flies 1,NA,fly
85,D Choice F 1 NA 2366 4 Flies 1 NA,D,Choice,D Choice F 1 NA 2366 4 Flies 1 NA,F,4,50880,575,D Choice F 1 NA 2366 4 Flies 1 NA,51455,DChoice,CV,1,NA,2366,Flies 1,NA,fly
75,D Choice M 1 NA 2356 4 Flies 1 NA,D,Choice,D Choice M 1 NA 2356 4 Flies 1 NA,M,4,7155,500,D Choice M 1 NA 2356 4 Flies 1 NA,7655,DChoice,CV,1,NA,2356,Flies 1,NA,fly
77,D Choice M 1 NA 2358 4 Flies 1 NA,D,Choice,D Choice M 1 NA 2358 4 Flies 1 NA,M,4,9142.5,200,D Choice M 1 NA 2358 4 Flies 1 NA,9342.5,DChoice,CV,1,NA,2358,Flies 1,NA,fly
79,D Choice M 1 NA 2360 4 Flies 1 NA,D,Choice,D Choice M 1 NA 2360 4 Flies 1 NA,M,4,7155,200,D Choice M 1 NA 2360 4 Flies 1 NA,7355,DChoice,CV,1,NA,2360,Flies 1,NA,fly
263,D Choice NA 1 NA 2540 4 Diet 1 A,D,Choice,D Choice NA 1 NA 2540 4 Diet 1 A,NA,4,55357440,0,D Choice NA 1 NA 2540 4 Diet 1 A,55357440,DChoice,CV,1,NA,2540,Diet 1,A,diet
265,D Choice NA 1 NA 2542 4 Diet 1 A,D,Choice,D Choice NA 1 NA 2542 4 Diet 1 A,NA,4,4680960,0,D Choice NA 1 NA 2542 4 Diet 1 A,4680960,DChoice,CV,1,NA,2542,Diet 1,A,diet
267,D Choice NA 1 NA 2544 4 Diet 1 A,D,Choice,D Choice NA 1 NA 2544 4 Diet 1 A,NA,4,61870080,0,D Choice NA 1 NA 2544 4 Diet 1 A,61870080,DChoice,CV,1,NA,2544,Diet 1,A,diet
269,D Choice NA 1 NA 2546 4 Diet 1 L,D,Choice,D Choice NA 1 NA 2546 4 Diet 1 L,NA,4,2849280,25440,D Choice NA 1 NA 2546 4 Diet 1 L,2874720,DChoice,CV,1,NA,2546,Diet 1,L,diet
271,D Choice NA 1 NA 2548 4 Diet 1 L,D,Choice,D Choice NA 1 NA 2548 4 Diet 1 L,NA,4,9768960,175,D Choice NA 1 NA 2548 4 Diet 1 L,9769135,DChoice,CV,1,NA,2548,Diet 1,L,diet
273,D Choice NA 1 NA 2550 4 Diet 1 L,D,Choice,D Choice NA 1 NA 2550 4 Diet 1 L,NA,4,14653440,22260,D Choice NA 1 NA 2550 4 Diet 1 L,14675700,DChoice,CV,1,NA,2550,Diet 1,L,diet
19,D Control F 1 NA 2304 4 Flies 1 NA,D,Control,D Control F 1 NA 2304 4 Flies 1 NA,F,4,47700,0,D Control F 1 NA 2304 4 Flies 1 NA,47700,DControl,CV,1,NA,2304,Flies 1,NA,fly
21,D Control F 1 NA 2306 4 Flies 1 NA,D,Control,D Control F 1 NA 2306 4 Flies 1 NA,F,4,155820,50,D Control F 1 NA 2306 4 Flies 1 NA,155870,DControl,CV,1,NA,2306,Flies 1,NA,fly
23,D Control F 1 NA 2308 4 Flies 1 NA,D,Control,D Control F 1 NA 2308 4 Flies 1 NA,F,4,57240,0,D Control F 1 NA 2308 4 Flies 1 NA,57240,DControl,CV,1,NA,2308,Flies 1,NA,fly
13,D Control M 1 NA 2298 4 Flies 1 NA,D,Control,D Control M 1 NA 2298 4 Flies 1 NA,M,4,60420,50,D Control M 1 NA 2298 4 Flies 1 NA,60470,DControl,CV,1,NA,2298,Flies 1,NA,fly
15,D Control M 1 NA 2300 4 Flies 1 NA,D,Control,D Control M 1 NA 2300 4 Flies 1 NA,M,4,41340,0,D Control M 1 NA 2300 4 Flies 1 NA,41340,DControl,CV,1,NA,2300,Flies 1,NA,fly
17,D Control M 1 NA 2302 4 Flies 1 NA,D,Control,D Control M 1 NA 2302 4 Flies 1 NA,M,4,47700,0,D Control M 1 NA 2302 4 Flies 1 NA,47700,DControl,CV,1,NA,2302,Flies 1,NA,fly
199,D Control NA 1 NA 2477 4 Diet 1 NA,D,Control,D Control NA 1 NA 2477 4 Diet 1 NA,NA,4,66754560,0,D Control NA 1 NA 2477 4 Diet 1 NA,66754560,DControl,CV,1,NA,2477,Diet 1,NA,diet
201,D Control NA 1 NA 2479 4 Diet 1 NA,D,Control,D Control NA 1 NA 2479 4 Diet 1 NA,NA,4,68382720,0,D Control NA 1 NA 2479 4 Diet 1 NA,68382720,DControl,CV,1,NA,2479,Diet 1,NA,diet
203,D Control NA 1 NA 2481 4 Diet 1 NA,D,Control,D Control NA 1 NA 2481 4 Diet 1 NA,NA,4,34191360,0,D Control NA 1 NA 2481 4 Diet 1 NA,34191360,DControl,CV,1,NA,2481,Diet 1,NA,diet
205,D Control NA 1 NA 2483 4 Diet 1 NA,D,Control,D Control NA 1 NA 2483 4 Diet 1 NA,NA,4,45588480,0,D Control NA 1 NA 2483 4 Diet 1 NA,45588480,DControl,CV,1,NA,2483,Diet 1,NA,diet
